,PLANT_ID_x,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,PLANT_ID_y,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,hour
count,45680.0,45680.0,45680.0,45680.0,45680.0,45680.0,45680.0,45680.0,45680.0,45680.0
mean,4135001.0,3197.1759711379236,312.65267920122426,3313.146538236822,6957007.021147007,4135001.0,25.917168303270536,31.87797487022734,0.2368335325269471,11.620271453590192
std,0.0,4080.4485233090613,398.66896818222335,3156.1002521326827,417238.64355693915,0.0,3.5565504391468683,12.638447947774878,0.3063164060271032,6.830884794502272
min,4135001.0,0.0,0.0,0.0,6183645.0,4135001.0,20.398504866666663,18.140415466666663,0.0,0.0
25%,4135001.0,0.0,0.0,0.0,6512357.875,4135001.0,22.93003146666667,21.406390466666668,0.0,6.0
50%,4135001.0,464.19642855,44.912499999999994,2653.6339285,7115710.714,4135001.0,24.993019533333328,25.379072142857144,0.0352655896,12.0
75%,4135001.0,6478.42410725,634.48125,6318.0,7244521.41075,4135001.0,28.3790078,42.75711873333334,0.4595029573333333,17.0
max,4135001.0,14471.125,1410.95,9163.0,7846821.0,4135001.0,35.25248613333334,65.54571366666664,1.2216518466666668,23.0
